,pos,title,merchant,price,rating,reviews_count
0,1,PlayStation Portal Remote Player,PlayStation,199.99,4.4,6300.0
1,2,Sony PlayStation 5 Slim Digital Edition,Best Buy,399.99,4.7,6800.0
2,3,Sony PlayStation 5 Digital Console,GameStop,389.99,4.5,9900.0
3,4,Sony PlayStation 5 Slim,Amazon.com,449.0,4.7,17000.0
4,5,Sony PS5 PlayStation 5 Digital Edition Console Slim,Target,469.99,2.0,2.0
5,6,Sony PlayStation 5 Slim Edition NBA 2K25 Bundle,PlayStation,449.99,3.7,9.0
6,7,Sony PlayStation Classic Console,Walmart - Lightning Deals Group,79.99,3.9,1200.0
7,8,Sony PlayStation 5 Slim Edition NBA 2K25 Bundle,PlayStation,449.99,3.7,9.0
8,9,Sony PlayStation 5 Disc,GameStop,439.99,4.5,47000.0
9,10,Sony PS5 PlayStation 5 Digital Edition Console Slim,Target,469.99,2.0,2.0
10,11,Sony PlayStation Classic Console,Walmart - Lightning Deals Group,79.99,3.9,1200.0
11,12,Sony PlayStation 4 Slim,Amazon.com - Seller,190.01,4.7,53000.0
12,13,Sony PlayStation 4 Slim Console,GameStop,159.99,4.7,34000.0
13,14,PlayStation 4 Call of Duty Black Ops III Limited Edition 1TB,GameStop,159.99,4.7,272.0
14,15,"Refurbished Sony PlayStation 4 1TB Limited Edition Days of Play Console Bundle, Blue",GameStop,169.99,4.0,230.0
15,16,Sony - PlayStation 5 Slim Console Digital Edition â€“ NBA 2K25 Bundle - Black,Best Buy,449.99,3.7,9.0
16,17,Sony PlayStation 5 Console,GameStop,439.99,4.7,17000.0
17,18,Sony PlayStation 4 Slim 1TB Console Green Camouflage,GameStop,169.99,,
18,19,Sony PlayStation 4 Pro 1TB Console - Black,GameStop,209.99,4.7,18000.0
19,20,Sony PS5 Console,Triveni World,454.11,4.8,375.0
20,21,PlayStation TV,Walmart - CaveGamers,199.99,4.3,197.0
21,22,Sony PlayStation Portal,Back Market,449.0,,
22,23,"Sony Playstation 4 500gb Jet Black Console With 5 Games Gta 5, Black",eBay,145.0,4.7,34000.0
23,24,Sony PlayStation 4 Pro,Amazon.com - Seller,223.99,4.7,18000.0
24,25,Sony PlayStation Classic Console with 20 Classic PlayStation Games,StockX,90.0,3.9,1200.0
25,26,Sony PlayStation 4 500GB Console Star Wars Darth Vader,GameStop,159.99,4.7,34000.0
26,27,Sony PlayStation 4 Pro 1TB Console Glacier White GameStop Premium Refurbished,GameStop,209.99,4.7,18000.0
27,28,Sony PlayStation,Card N All Gaming,64.99,4.7,1600.0
28,29,Sony PlayStation 4 Pro 1TB Star Wars Battlefront II,GameStop,209.99,,
29,30,"Sony PlayStation 4 Console, Renewed, Black",Amazon.com - Seller,188.05,4.7,34000.0
30,31,"Sony PlayStation 5 (ps5) Digital Console Slim, White",Walmart - T.I.J. DEALS,488.82,4.7,6800.0
31,32,PlayStation 4 Slim 1TB Console with Marvel's Spider-Man,Poshmark,196.0,4.6,11000.0
32,33,Sony PlayStation 4 Slim 500GB Video Game Console,Amazon.com - Seller,335.0,4.7,34000.0
33,34,Sony PlayStation 4 500GB Console,Walmart - Itembazaar,174.99,1.9,33.0
34,35,Playstation PS5 Concord,eBay - thisjourneybus,74.95,2.8,21.0
35,36,PlayStation 4 Slim - Black - 500 GB,Swappa,134.0,4.7,53000.0
36,37,Undisputed - PlayStation 5,Amazon.com,59.99,,
37,38,PlayStation 4 Pro 1TB Black Bolt Axtion Bundle,Walmart - Gamer Girlz,209.9,2.6,8.0
38,39,Sony PlayStation 4 Pro 1TB Black,Walmart - Gamer Girlz,284.98,,
39,40,Sony PlayStation 4 500GB Console,Shop.com,236.49,4.7,34000.0
40,41,PlayStation 4 Slim 1TB Console,Walmart - Best Retro Games,189.0,2.8,27.0
41,42,Ps4 Playstation 4 Sony Original Slim Pro 500gb 1tb 2tb Console Black,eBay - samurai_game.shop-27,165.99,4.6,11000.0
42,43,PlayStation Until Dawn,PlayStation,59.99,4.6,5000.0
43,44,Playstation Console,eBay,45.0,4.3,107.0
44,45,Sony PlayStation 4 Pro 1TB Black with Call of Duty Black Ops 3 Bolt Axtion (Used),Walmart - Gamer Girlz,259.99,,
45,46,Sony PlayStation 2 Game Console,eBay - stylethrift1,29.99,4.5,3100.0
46,47,PlayStation 4 Slim 500GB - Black,Back Market,144.21,4.8,17.0
